'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:00.025',0.042,-1.128,-1.169,0.543,0.606,-1.149,0.166,0.287,0.613,0.158,-0.356,0.044,-0.315,-0.676,-0.003
'0:00.026',0.042,-1.127,-1.169,0.543,0.606,-1.149,0.164,0.289,0.617,0.160,-0.355,0.044,-0.315,-0.674,-0.005
'0:00.027',0.041,-1.129,-1.170,0.544,0.606,-1.150,0.166,0.290,0.617,0.163,-0.353,0.046,-0.316,-0.674,-0.009
'0:00.028',0.039,-1.129,-1.169,0.545,0.604,-1.149,0.169,0.295,0.623,0.166,-0.351,0.051,-0.313,-0.676,-0.009
'0:00.029',0.036,-1.131,-1.168,0.547,0.603,-1.150,0.169,0.293,0.622,0.166,-0.352,0.050,-0.312,-0.676,-0.009
'0:00.030',0.036,-1.131,-1.168,0.547,0.603,-1.149,0.168,0.297,0.625,0.170,-0.349,0.053,-0.309,-0.675,-0.012
'0:00.031',0.036,-1.131,-1.167,0.547,0.602,-1.149,0.171,0.299,0.628,0.171,-0.350,0.053,-0.309,-0.676,-0.014
'0:00.032',0.037,-1.133,-1.171,0.548,0.604,-1.152,0.169,0.297,0.626,0.169,-0.352,0.053,-0.310,-0.675,-0.013
'0:00.033',0.035,-1.135,-1.171,0.550,0.603,-1.153,0.169,0.300,0.631,0.173,-0.349,0.056,-0.309,-0.675,-0.013
'0:00.034',0.038,-1.133,-1.171,0.546,0.605,-1.151,0.172,0.306,0.634,0.178,-0.346,0.058,-0.307,-0.674,-0.015
'0:00.035',0.038,-1.131,-1.169,0.546,0.604,-1.151,0.170,0.305,0.636,0.178,-0.346,0.058,-0.306,-0.671,-0.018
'0:00.036',0.035,-1.130,-1.165,0.547,0.600,-1.147,0.172,0.309,0.639,0.180,-0.344,0.059,-0.305,-0.669,-0.019
'0:00.037',0.035,-1.128,-1.163,0.546,0.600,-1.146,0.170,0.312,0.641,0.180,-0.344,0.060,-0.303,-0.669,-0.018
'0:00.038',0.035,-1.124,-1.159,0.544,0.597,-1.141,0.168,0.312,0.643,0.183,-0.346,0.059,-0.303,-0.667,-0.018
'0:00.039',0.035,-1.116,-1.151,0.540,0.594,-1.133,0.169,0.312,0.643,0.185,-0.346,0.060,-0.303,-0.659,-0.019
'0:00.040',0.035,-1.115,-1.149,0.540,0.592,-1.132,0.169,0.312,0.644,0.183,-0.347,0.060,-0.302,-0.659,-0.020
'0:00.041',0.038,-1.112,-1.149,0.537,0.594,-1.131,0.171,0.315,0.645,0.186,-0.346,0.060,-0.301,-0.666,-0.024
'0:00.042',0.041,-1.113,-1.153,0.536,0.597,-1.133,0.170,0.317,0.649,0.189,-0.345,0.064,-0.298,-0.669,-0.028
'0:00.043',0.039,-1.113,-1.153,0.537,0.596,-1.133,0.169,0.319,0.652,0.189,-0.344,0.066,-0.295,-0.665,-0.030
'0:00.044',0.040,-1.104,-1.143,0.532,0.592,-1.123,0.166,0.319,0.653,0.188,-0.344,0.065,-0.293,-0.654,-0.031
'0:00.045',0.038,-1.101,-1.139,0.531,0.589,-1.120,0.166,0.321,0.653,0.191,-0.345,0.066,-0.290,-0.653,-0.029
'0:00.046',0.040,-1.107,-1.147,0.533,0.594,-1.127,0.168,0.325,0.660,0.196,-0.340,0.071,-0.288,-0.661,-0.030
'0:00.047',0.042,-1.111,-1.151,0.534,0.597,-1.131,0.167,0.328,0.665,0.200,-0.337,0.074,-0.286,-0.662,-0.029
'0:00.048',0.043,-1.104,-1.147,0.530,0.595,-1.125,0.170,0.330,0.667,0.202,-0.336,0.075,-0.283,-0.656,-0.027
'0:00.049',0.045,-1.097,-1.143,0.525,0.595,-1.120,0.171,0.334,0.671,0.204,-0.332,0.078,-0.278,-0.646,-0.026
'0:00.050',0.045,-1.100,-1.145,0.527,0.595,-1.123,0.168,0.334,0.673,0.204,-0.333,0.077,-0.278,-0.644,-0.027
'0:00.051',0.040,-1.109,-1.148,0.534,0.594,-1.129,0.165,0.332,0.675,0.204,-0.334,0.078,-0.281,-0.650,-0.030
'0:00.052',0.041,-1.105,-1.145,0.532,0.593,-1.125,0.165,0.335,0.677,0.209,-0.330,0.081,-0.279,-0.647,-0.033
'0:00.053',0.048,-1.097,-1.146,0.524,0.597,-1.121,0.170,0.341,0.684,0.215,-0.326,0.086,-0.275,-0.645,-0.035
'0:00.054',0.049,-1.097,-1.146,0.524,0.598,-1.121,0.172,0.346,0.689,0.218,-0.323,0.089,-0.272,-0.645,-0.036
'0:00.055',0.049,-1.097,-1.145,0.524,0.597,-1.121,0.172,0.348,0.691,0.222,-0.320,0.090,-0.271,-0.644,-0.036
'0:00.056',0.046,-1.100,-1.147,0.526,0.597,-1.123,0.172,0.351,0.695,0.226,-0.318,0.093,-0.268,-0.646,-0.036
'0:00.057',0.045,-1.098,-1.143,0.526,0.594,-1.121,0.170,0.353,0.696,0.229,-0.316,0.097,-0.264,-0.642,-0.036
'0:00.058',0.045,-1.091,-1.137,0.523,0.592,-1.115,0.167,0.353,0.699,0.229,-0.316,0.097,-0.262,-0.638,-0.038
'0:00.059',0.046,-1.089,-1.136,0.521,0.592,-1.113,0.171,0.358,0.703,0.233,-0.313,0.099,-0.261,-0.639,-0.041
'0:00.060',0.049,-1.087,-1.135,0.519,0.592,-1.111,0.174,0.363,0.708,0.238,-0.308,0.103,-0.258,-0.636,-0.042
'0:00.061',0.050,-1.087,-1.137,0.518,0.594,-1.111,0.174,0.367,0.713,0.243,-0.304,0.108,-0.255,-0.635,-0.043
'0:00.062',0.051,-1.087,-1.139,0.517,0.596,-1.113,0.173,0.371,0.717,0.245,-0.302,0.113,-0.252,-0.639,-0.045
'0:00.063',0.052,-1.084,-1.137,0.515,0.595,-1.111,0.174,0.372,0.722,0.246,-0.299,0.115,-0.248,-0.639,-0.048
'0:00.064',0.058,-1.079,-1.136,0.510,0.597,-1.107,0.172,0.376,0.726,0.252,-0.294,0.118,-0.244,-0.635,-0.050
'0:00.065',0.057,-1.075,-1.132,0.509,0.595,-1.103,0.168,0.378,0.729,0.255,-0.292,0.121,-0.241,-0.632,-0.051
'0:00.066',0.056,-1.077,-1.133,0.509,0.595,-1.105,0.172,0.381,0.735,0.260,-0.290,0.123,-0.239,-0.634,-0.054
'0:00.067',0.059,-1.074,-1.133,0.507,0.596,-1.103,0.173,0.384,0.739,0.264,-0.289,0.126,-0.238,-0.632,-0.058
'0:00.068',0.060,-1.073,-1.133,0.506,0.597,-1.103,0.171,0.386,0.742,0.266,-0.289,0.126,-0.236,-0.629,-0.060
'0:00.069',0.064,-1.070,-1.133,0.503,0.599,-1.102,0.170,0.391,0.747,0.271,-0.286,0.130,-0.231,-0.625,-0.061
'0:00.070',0.061,-1.069,-1.130,0.503,0.596,-1.099,0.169,0.394,0.750,0.272,-0.284,0.132,-0.229,-0.622,-0.062
'0:00.071',0.059,-1.067,-1.125,0.504,0.592,-1.096,0.173,0.397,0.755,0.277,-0.281,0.137,-0.227,-0.621,-0.064
'0:00.072',0.059,-1.063,-1.123,0.502,0.591,-1.093,0.175,0.404,0.762,0.282,-0.276,0.144,-0.224,-0.621,-0.065
'0:00.073',0.066,-1.058,-1.125,0.496,0.596,-1.091,0.175,0.409,0.766,0.289,-0.271,0.148,-0.220,-0.620,-0.066
'0:00.074',0.070,-1.055,-1.125,0.492,0.598,-1.090,0.177,0.412,0.772,0.294,-0.268,0.153,-0.216,-0.617,-0.069
'0:00.075',0.068,-1.055,-1.123,0.493,0.596,-1.089,0.178,0.416,0.777,0.297,-0.267,0.155,-0.214,-0.614,-0.071
'0:00.076',0.070,-1.051,-1.121,0.490,0.595,-1.085,0.177,0.419,0.782,0.301,-0.266,0.158,-0.211,-0.609,-0.073
'0:00.077',0.068,-1.054,-1.121,0.493,0.595,-1.088,0.179,0.423,0.787,0.307,-0.262,0.162,-0.207,-0.609,-0.072
'0:00.078',0.068,-1.051,-1.119,0.491,0.594,-1.085,0.178,0.427,0.791,0.312,-0.258,0.165,-0.203,-0.605,-0.070
'0:00.079',0.071,-1.038,-1.110,0.483,0.591,-1.075,0.176,0.430,0.796,0.317,-0.256,0.170,-0.200,-0.603,-0.082
'0:00.080',0.073,-1.034,-1.107,0.480,0.591,-1.071,0.177,0.435,0.801,0.323,-0.251,0.175,-0.195,-0.606,-0.086
'0:00.081',0.077,-1.030,-1.107,0.476,0.592,-1.069,0.176,0.439,0.806,0.328,-0.250,0.178,-0.191,-0.603,-0.083
'0:00.082',0.079,-1.026,-1.105,0.473,0.593,-1.066,0.175,0.442,0.811,0.331,-0.247,0.181,-0.187,-0.600,-0.085
'0:00.083',0.075,-1.029,-1.105,0.476,0.590,-1.067,0.171,0.443,0.814,0.333,-0.245,0.184,-0.183,-0.595,-0.085
'0:00.084',0.071,-1.027,-1.098,0.477,0.585,-1.062,0.172,0.445,0.819,0.339,-0.242,0.190,-0.178,-0.591,-0.088
'0:00.085',0.071,-1.020,-1.092,0.474,0.582,-1.056,0.175,0.450,0.827,0.345,-0.236,0.196,-0.173,-0.589,-0.091
'0:00.086',0.074,-1.016,-1.091,0.470,0.583,-1.054,0.174,0.453,0.832,0.349,-0.234,0.199,-0.171,-0.584,-0.093
'0:00.087',0.079,-1.010,-1.089,0.466,0.584,-1.049,0.174,0.457,0.837,0.353,-0.231,0.202,-0.168,-0.576,-0.100
'0:00.088',0.084,-1.004,-1.087,0.460,0.586,-1.045,0.172,0.461,0.840,0.359,-0.225,0.207,-0.163,-0.574,-0.103
'0:00.089',0.083,-1.001,-1.084,0.459,0.584,-1.042,0.172,0.464,0.845,0.363,-0.220,0.212,-0.159,-0.572,-0.103
'0:00.090',0.080,-1.001,-1.081,0.460,0.581,-1.041,0.173,0.466,0.850,0.367,-0.215,0.218,-0.154,-0.568,-0.104
'0:00.091',0.080,-0.997,-1.076,0.459,0.578,-1.036,0.174,0.469,0.854,0.373,-0.210,0.223,-0.151,-0.568,-0.107
'0:00.092',0.084,-0.985,-1.069,0.450,0.577,-1.026,0.173,0.473,0.861,0.380,-0.204,0.229,-0.145,-0.559,-0.109
'0:00.093',0.089,-0.978,-1.067,0.444,0.579,-1.022,0.176,0.477,0.868,0.389,-0.200,0.234,-0.141,-0.559,-0.114
'0:00.094',0.090,-0.976,-1.065,0.443,0.578,-1.020,0.177,0.481,0.871,0.395,-0.195,0.239,-0.136,-0.559,-0.116
'0:00.095',0.092,-0.969,-1.061,0.438,0.577,-1.015,0.174,0.485,0.876,0.399,-0.189,0.245,-0.129,-0.552,-0.117
'0:00.096',0.094,-0.966,-1.060,0.435,0.577,-1.013,0.172,0.488,0.882,0.405,-0.184,0.251,-0.125,-0.548,-0.118
'0:00.097',0.092,-0.965,-1.058,0.436,0.576,-1.012,0.172,0.491,0.887,0.410,-0.178,0.256,-0.121,-0.547,-0.118
'0:00.098',0.092,-0.959,-1.051,0.432,0.572,-1.005,0.172,0.495,0.892,0.415,-0.174,0.262,-0.116,-0.546,-0.123
'0:00.099',0.096,-0.953,-1.048,0.428,0.573,-1.000,0.171,0.497,0.896,0.420,-0.169,0.268,-0.112,-0.541,-0.125
'0:00.100',0.099,-0.950,-1.048,0.425,0.574,-1.000,0.170,0.497,0.898,0.424,-0.168,0.271,-0.108,-0.540,-0.125
'0:00.101',0.096,-0.944,-1.040,0.423,0.568,-0.992,0.168,0.498,0.900,0.430,-0.165,0.277,-0.102,-0.536,-0.128
'0:00.102',0.095,-0.939,-1.034,0.421,0.565,-0.986,0.166,0.502,0.904,0.434,-0.161,0.281,-0.099,-0.531,-0.129
'0:00.103',0.099,-0.934,-1.034,0.417,0.567,-0.984,0.162,0.504,0.909,0.436,-0.155,0.285,-0.092,-0.527,-0.130
'0:00.104',0.101,-0.930,-1.031,0.414,0.566,-0.981,0.163,0.506,0.912,0.443,-0.148,0.292,-0.085,-0.523,-0.133
'0:00.105',0.102,-0.926,-1.029,0.412,0.566,-0.978,0.165,0.507,0.918,0.447,-0.143,0.296,-0.082,-0.520,-0.138
'0:00.106',0.101,-0.923,-1.024,0.411,0.562,-0.974,0.164,0.511,0.923,0.454,-0.137,0.303,-0.077,-0.518,-0.139
'0:00.107',0.102,-0.918,-1.020,0.408,0.561,-0.969,0.162,0.513,0.927,0.458,-0.132,0.309,-0.070,-0.513,-0.138
'0:00.108',0.105,-0.912,-1.018,0.404,0.561,-0.965,0.161,0.514,0.931,0.464,-0.127,0.314,-0.065,-0.510,-0.139
'0:00.109',0.103,-0.910,-1.014,0.403,0.559,-0.962,0.161,0.516,0.933,0.469,-0.122,0.321,-0.060,-0.504,-0.138
'0:00.110',0.103,-0.908,-1.010,0.402,0.557,-0.959,0.159,0.516,0.938,0.470,-0.120,0.325,-0.058,-0.497,-0.134
'0:00.111',0.102,-0.907,-1.010,0.402,0.556,-0.959,0.159,0.518,0.941,0.474,-0.116,0.329,-0.054,-0.495,-0.136
'0:00.112',0.106,-0.901,-1.008,0.398,0.557,-0.955,0.155,0.521,0.944,0.482,-0.109,0.337,-0.046,-0.492,-0.139
'0:00.113',0.113,-0.893,-1.006,0.390,0.559,-0.950,0.158,0.525,0.950,0.491,-0.100,0.345,-0.042,-0.491,-0.141
'0:00.114',0.112,-0.888,-1.001,0.388,0.557,-0.945,0.159,0.525,0.953,0.494,-0.094,0.351,-0.036,-0.490,-0.141
'0:00.115',0.109,-0.884,-0.994,0.388,0.552,-0.939,0.158,0.527,0.955,0.498,-0.091,0.355,-0.033,-0.485,-0.142
'0:00.116',0.112,-0.882,-0.994,0.385,0.552,-0.938,0.157,0.527,0.955,0.501,-0.087,0.357,-0.030,-0.481,-0.144
'0:00.117',0.114,-0.877,-0.991,0.382,0.552,-0.934,0.156,0.527,0.958,0.505,-0.085,0.363,-0.026,-0.478,-0.143
'0:00.118',0.115,-0.875,-0.990,0.380,0.552,-0.932,0.154,0.528,0.959,0.510,-0.082,0.367,-0.021,-0.480,-0.143
'0:00.119',0.116,-0.871,-0.986,0.377,0.551,-0.928,0.150,0.528,0.961,0.513,-0.076,0.370,-0.018,-0.476,-0.143
'0:00.120',0.117,-0.867,-0.984,0.374,0.551,-0.925,0.148,0.527,0.962,0.515,-0.073,0.376,-0.015,-0.472,-0.144
'0:00.121',0.117,-0.869,-0.985,0.376,0.551,-0.927,0.150,0.526,0.963,0.519,-0.069,0.381,-0.010,-0.470,-0.145
'0:00.122',0.112,-0.867,-0.979,0.377,0.545,-0.922,0.146,0.526,0.964,0.520,-0.067,0.383,-0.007,-0.465,-0.146
'0:00.123',0.109,-0.866,-0.975,0.378,0.542,-0.920,0.144,0.523,0.962,0.520,-0.066,0.385,-0.004,-0.463,-0.146
'0:00.124',0.109,-0.865,-0.974,0.378,0.541,-0.919,0.143,0.520,0.962,0.522,-0.062,0.389,-0.001,-0.458,-0.147
'0:00.125',0.112,-0.860,-0.971,0.373,0.541,-0.915,0.141,0.519,0.962,0.525,-0.060,0.391,0.002,-0.455,-0.146
'0:00.126',0.111,-0.854,-0.965,0.371,0.538,-0.909,0.141,0.518,0.963,0.527,-0.056,0.395,0.004,-0.451,-0.145
'0:00.127',0.110,-0.846,-0.955,0.368,0.532,-0.900,0.135,0.515,0.962,0.528,-0.051,0.398,0.009,-0.447,-0.145
'0:00.128',0.110,-0.847,-0.957,0.368,0.533,-0.901,0.136,0.514,0.962,0.530,-0.049,0.402,0.011,-0.446,-0.144
'0:00.129',0.107,-0.849,-0.955,0.370,0.531,-0.901,0.138,0.510,0.959,0.528,-0.048,0.403,0.009,-0.445,-0.146
'0:00.130',0.111,-0.840,-0.951,0.364,0.531,-0.895,0.135,0.508,0.958,0.528,-0.043,0.405,0.011,-0.442,-0.147
'0:00.131',0.114,-0.842,-0.956,0.364,0.535,-0.899,0.135,0.507,0.959,0.533,-0.037,0.411,0.015,-0.439,-0.143
'0:00.132',0.114,-0.841,-0.955,0.363,0.534,-0.897,0.132,0.505,0.956,0.534,-0.035,0.413,0.016,-0.439,-0.144
'0:00.133',0.117,-0.832,-0.949,0.357,0.533,-0.890,0.131,0.504,0.956,0.536,-0.030,0.416,0.019,-0.436,-0.148
'0:00.134',0.117,-0.832,-0.949,0.357,0.533,-0.890,0.129,0.500,0.954,0.538,-0.027,0.421,0.024,-0.438,-0.151
'0:00.135',0.115,-0.829,-0.945,0.356,0.530,-0.887,0.128,0.496,0.952,0.538,-0.026,0.423,0.025,-0.437,-0.154
'0:00.136',0.119,-0.823,-0.942,0.351,0.530,-0.882,0.126,0.492,0.951,0.540,-0.021,0.426,0.027,-0.430,-0.147
'0:00.137',0.122,-0.817,-0.939,0.347,0.530,-0.877,0.126,0.491,0.949,0.542,-0.017,0.430,0.030,-0.424,-0.140
'0:00.138',0.117,-0.817,-0.934,0.350,0.526,-0.875,0.122,0.486,0.945,0.541,-0.016,0.431,0.032,-0.422,-0.135
'0:00.139',0.116,-0.815,-0.931,0.349,0.523,-0.873,0.120,0.481,0.943,0.541,-0.013,0.432,0.032,-0.420,-0.134
'0:00.140',0.118,-0.810,-0.928,0.346,0.523,-0.870,0.119,0.478,0.940,0.543,-0.012,0.433,0.034,-0.419,-0.133
'0:00.141',0.120,-0.807,-0.927,0.344,0.524,-0.868,0.114,0.471,0.933,0.541,-0.011,0.435,0.034,-0.418,-0.128
'0:00.142',0.121,-0.807,-0.928,0.343,0.525,-0.868,0.114,0.467,0.929,0.540,-0.010,0.435,0.033,-0.414,-0.125
'0:00.143',0.118,-0.806,-0.924,0.344,0.521,-0.865,0.115,0.462,0.926,0.537,-0.009,0.433,0.031,-0.411,-0.124
'0:00.144',0.117,-0.804,-0.920,0.343,0.519,-0.862,0.112,0.457,0.922,0.535,-0.009,0.433,0.032,-0.412,-0.124
'0:00.145',0.117,-0.808,-0.926,0.345,0.522,-0.867,0.110,0.454,0.919,0.535,-0.009,0.433,0.032,-0.418,-0.126
'0:00.146',0.117,-0.808,-0.925,0.345,0.521,-0.867,0.107,0.449,0.913,0.532,-0.009,0.431,0.030,-0.422,-0.124
'0:00.147',0.114,-0.810,-0.924,0.348,0.519,-0.867,0.106,0.444,0.908,0.529,-0.011,0.428,0.028,-0.420,-0.121
'0:00.148',0.113,-0.811,-0.924,0.349,0.518,-0.868,0.104,0.436,0.903,0.528,-0.011,0.429,0.025,-0.420,-0.119
'0:00.149',0.113,-0.815,-0.927,0.351,0.520,-0.871,0.102,0.431,0.895,0.523,-0.015,0.424,0.021,-0.423,-0.117
'0:00.150',0.113,-0.820,-0.932,0.353,0.522,-0.876,0.102,0.424,0.890,0.518,-0.017,0.420,0.018,-0.424,-0.116
'0:00.151',0.108,-0.821,-0.929,0.356,0.519,-0.875,0.100,0.417,0.885,0.513,-0.019,0.418,0.016,-0.423,-0.115
'0:00.152',0.106,-0.826,-0.931,0.360,0.519,-0.878,0.098,0.412,0.878,0.509,-0.022,0.415,0.014,-0.428,-0.113
'0:00.153',0.105,-0.830,-0.935,0.362,0.520,-0.883,0.099,0.408,0.873,0.508,-0.025,0.411,0.009,-0.436,-0.110
'0:00.154',0.102,-0.835,-0.938,0.366,0.520,-0.886,0.102,0.402,0.864,0.503,-0.030,0.406,0.003,-0.438,-0.103
'0:00.155',0.102,-0.842,-0.944,0.369,0.523,-0.893,0.102,0.397,0.858,0.498,-0.032,0.403,-0.002,-0.445,-0.098
'0:00.156',0.102,-0.847,-0.948,0.372,0.525,-0.897,0.102,0.391,0.852,0.493,-0.034,0.399,-0.004,-0.447,-0.095
'0:00.157',0.100,-0.851,-0.951,0.375,0.526,-0.901,0.100,0.384,0.844,0.486,-0.038,0.396,-0.009,-0.449,-0.092
'0:00.158',0.098,-0.857,-0.955,0.380,0.526,-0.906,0.099,0.379,0.836,0.481,-0.045,0.391,-0.015,-0.451,-0.087
'0:00.159',0.097,-0.861,-0.958,0.382,0.527,-0.909,0.098,0.372,0.826,0.474,-0.052,0.383,-0.021,-0.454,-0.087
'0:00.160',0.100,-0.865,-0.964,0.382,0.532,-0.914,0.099,0.365,0.817,0.466,-0.058,0.375,-0.028,-0.461,-0.086
'0:00.161',0.096,-0.870,-0.965,0.387,0.530,-0.917,0.101,0.360,0.809,0.459,-0.063,0.367,-0.035,-0.463,-0.080
'0:00.162',0.087,-0.879,-0.967,0.396,0.527,-0.923,0.100,0.353,0.798,0.449,-0.071,0.358,-0.043,-0.474,-0.079
'0:00.163',0.080,-0.894,-0.974,0.407,0.527,-0.934,0.098,0.343,0.788,0.439,-0.079,0.350,-0.050,-0.483,-0.075
'0:00.164',0.080,-0.902,-0.982,0.411,0.530,-0.942,0.097,0.339,0.783,0.432,-0.084,0.345,-0.054,-0.488,-0.069
'0:00.165',0.080,-0.906,-0.986,0.412,0.533,-0.946,0.102,0.339,0.776,0.427,-0.087,0.342,-0.059,-0.492,-0.068
'0:00.166',0.077,-0.910,-0.988,0.416,0.532,-0.949,0.102,0.327,0.764,0.416,-0.096,0.332,-0.070,-0.491,-0.062
'0:00.167',0.071,-0.918,-0.990,0.423,0.530,-0.954,0.105,0.318,0.755,0.405,-0.105,0.323,-0.078,-0.494,-0.054
'0:00.168',0.066,-0.927,-0.993,0.430,0.529,-0.961,0.105,0.316,0.748,0.400,-0.112,0.316,-0.086,-0.498,-0.051
'0:00.169',0.067,-0.932,-0.999,0.432,0.533,-0.966,0.099,0.308,0.737,0.390,-0.121,0.306,-0.092,-0.505,-0.049
'0:00.170',0.064,-0.943,-1.006,0.439,0.534,-0.974,0.101,0.302,0.728,0.379,-0.129,0.297,-0.100,-0.513,-0.045
'0:00.171',0.059,-0.952,-1.010,0.446,0.534,-0.981,0.102,0.297,0.720,0.368,-0.137,0.288,-0.109,-0.518,-0.042
'0:00.172',0.062,-0.954,-1.016,0.446,0.539,-0.985,0.104,0.292,0.713,0.362,-0.142,0.282,-0.114,-0.525,-0.040
'0:00.173',0.062,-0.959,-1.022,0.449,0.542,-0.990,0.107,0.289,0.707,0.357,-0.148,0.275,-0.123,-0.532,-0.035
'0:00.174',0.059,-0.962,-1.020,0.451,0.540,-0.991,0.110,0.286,0.699,0.351,-0.152,0.269,-0.131,-0.533,-0.034
'0:00.175',0.059,-0.965,-1.024,0.453,0.541,-0.994,0.107,0.281,0.691,0.343,-0.157,0.263,-0.136,-0.530,-0.029
'0:00.176',0.062,-0.969,-1.032,0.453,0.547,-1.000,0.107,0.277,0.682,0.334,-0.165,0.253,-0.143,-0.533,-0.026
'0:00.177',0.060,-0.977,-1.037,0.459,0.548,-1.007,0.110,0.273,0.674,0.326,-0.174,0.244,-0.151,-0.542,-0.025
'0:00.178',0.051,-0.987,-1.038,0.468,0.545,-1.012,0.111,0.268,0.667,0.318,-0.182,0.236,-0.160,-0.551,-0.023
'0:00.179',0.046,-0.992,-1.038,0.473,0.542,-1.015,0.112,0.262,0.660,0.309,-0.191,0.227,-0.169,-0.557,-0.019
'0:00.180',0.039,-1.000,-1.039,0.480,0.539,-1.020,0.113,0.258,0.650,0.302,-0.198,0.220,-0.175,-0.566,-0.019
'0:00.181',0.038,-1.004,-1.042,0.482,0.540,-1.022,0.114,0.255,0.645,0.298,-0.199,0.216,-0.179,-0.573,-0.022
'0:00.182',0.037,-1.007,-1.044,0.484,0.540,-1.025,0.110,0.250,0.638,0.289,-0.206,0.207,-0.186,-0.574,-0.018
'0:00.183',0.034,-1.014,-1.048,0.490,0.540,-1.030,0.112,0.245,0.630,0.279,-0.214,0.198,-0.192,-0.576,-0.008
'0:00.184',0.032,-1.016,-1.048,0.491,0.540,-1.032,0.115,0.241,0.626,0.272,-0.219,0.192,-0.198,-0.577,-0.003
'0:00.185',0.029,-1.020,-1.050,0.495,0.540,-1.035,0.113,0.238,0.619,0.267,-0.224,0.185,-0.203,-0.579,-0.002
'0:00.186',0.027,-1.029,-1.056,0.500,0.541,-1.042,0.115,0.236,0.614,0.261,-0.228,0.180,-0.209,-0.585,0.001
