'Elapsed time','Cz..'
0.912,-30.000
0.919,-52.000
0.925,-50.000
0.931,-51.000
0.938,-58.000
0.944,-42.000
0.950,-51.000
0.956,-34.000
0.963,-54.000
0.969,-75.000
0.975,-67.000
0.981,-63.000
0.988,-56.000
0.994,-62.000
1.000,-92.000
1.006,-83.000
1.012,-68.000
1.019,-54.000
1.025,-34.000
1.031,-36.000
1.038,-86.000
1.044,-109.000
1.050,-91.000
1.056,-81.000
1.062,-94.000
1.069,-81.000
1.075,-78.000
1.081,-71.000
1.087,-93.000
1.094,-98.000
1.100,-106.000
1.106,-112.000
1.113,-99.000
1.119,-89.000
1.125,-74.000
1.131,-72.000
1.137,-88.000
1.144,-86.000
1.150,-78.000
1.156,-58.000
1.163,-34.000
1.169,-21.000
1.175,-15.000
1.181,-34.000
1.188,-62.000
1.194,-85.000
1.200,-77.000
1.206,-49.000
1.212,-63.000
1.219,-67.000
1.225,-67.000
1.231,-81.000
1.238,-90.000
1.244,-71.000
1.250,-90.000
1.256,-97.000
1.262,-79.000
1.269,-92.000
1.275,-100.000
1.281,-117.000
1.288,-138.000
1.294,-133.000
1.300,-104.000
1.306,-89.000
1.312,-99.000
1.319,-106.000
1.325,-100.000
1.331,-96.000
1.337,-119.000
1.344,-112.000
1.350,-90.000
1.356,-121.000
1.363,-91.000
1.369,-97.000
1.375,-105.000
1.381,-98.000
1.387,-89.000
1.394,-84.000
1.400,-52.000
1.406,-36.000
1.413,-29.000
1.419,-41.000
1.425,-69.000
1.431,-102.000
1.438,-105.000
1.444,-114.000
1.450,-131.000
1.456,-124.000
1.462,-109.000
1.469,-95.000
1.475,-60.000
1.481,-45.000
1.488,-40.000
1.494,-42.000
1.500,-44.000
1.506,-25.000
1.512,-23.000
1.519,-43.000
1.525,-63.000
1.531,-77.000
1.538,-61.000
1.544,-42.000
1.550,-48.000
1.556,-33.000
1.562,-60.000
1.569,-63.000
1.575,-53.000
1.581,-49.000
1.587,-69.000
1.594,-88.000
1.600,-51.000
1.606,-34.000
1.613,-16.000
1.619,-4.000
1.625,6.000
1.631,15.000
1.637,16.000
1.644,23.000
1.650,51.000
1.656,51.000
1.663,46.000
1.669,53.000
1.675,46.000
1.681,34.000
1.688,-14.000
1.694,-17.000
1.700,0.000
1.706,31.000
1.712,6.000
1.719,-30.000
1.725,0.000
1.731,-7.000
1.738,10.000
1.744,-6.000
1.750,-30.000
1.756,-28.000
1.762,-33.000
1.769,-57.000
1.775,-40.000
1.781,-24.000
1.788,-32.000
1.794,-48.000
1.800,-45.000
1.806,-67.000
1.812,-78.000
1.819,-88.000
1.825,-89.000
1.831,-87.000
1.837,-83.000
1.844,-84.000
1.850,-69.000
1.856,-50.000
1.863,-33.000
1.869,-21.000
1.875,-13.000
1.881,-24.000
1.887,-20.000
1.894,16.000
1.900,-5.000
1.906,7.000
1.913,22.000
1.919,27.000
1.925,13.000
1.931,2.000
1.938,2.000
1.944,-7.000
1.950,5.000
1.956,-14.000
1.962,-23.000
1.969,1.000
1.975,-9.000
1.981,-23.000
1.988,-11.000
1.994,-29.000
2.000,-37.000
2.006,-39.000
2.013,-36.000
2.019,-34.000
2.025,-45.000
2.031,-63.000
2.038,-46.000
2.044,-37.000
2.050,-27.000
2.056,-52.000
2.062,-68.000
2.069,-88.000
2.075,-73.000
2.081,-72.000
2.087,-85.000
2.094,-59.000
2.100,-50.000
2.106,-56.000
2.112,-47.000
2.119,-57.000
2.125,-52.000
2.131,-27.000
2.138,-51.000
2.144,-68.000
2.150,-50.000
2.156,-56.000
2.163,-60.000
2.169,-87.000
2.175,-86.000
2.181,-93.000
2.188,-96.000
2.194,-80.000
2.200,-91.000
2.206,-80.000
2.212,-60.000
2.219,-59.000
2.225,-54.000
2.231,-18.000
2.237,0.000
2.244,0.000
2.250,-7.000
2.256,-31.000
2.263,-63.000
2.269,-80.000
2.275,-92.000
2.281,-98.000
2.288,-105.000
2.294,-97.000
2.300,-82.000
2.306,-80.000
2.312,-92.000
2.319,-114.000
2.325,-93.000
2.331,-97.000
2.337,-83.000
2.344,-55.000
2.350,-41.000
2.356,-42.000
2.362,-30.000
2.369,-32.000
2.375,-37.000
2.381,-46.000
2.388,-58.000
2.394,-55.000
2.400,-49.000
2.406,-34.000
2.413,-29.000
2.419,-35.000
2.425,-43.000
2.431,-41.000
2.438,-41.000
2.444,-60.000
2.450,-27.000
2.456,-7.000
2.462,4.000
2.469,16.000
2.475,18.000
2.481,20.000
2.487,21.000
2.494,10.000
2.500,27.000
2.506,31.000
2.513,25.000
2.519,25.000
2.525,40.000
2.531,38.000
2.538,36.000
2.544,6.000
2.550,-1.000
2.556,15.000
2.562,15.000
2.569,9.000
2.575,1.000
2.581,-10.000
2.587,-7.000
2.594,-41.000
2.600,-45.000
2.606,-25.000
2.612,-22.000
2.619,-31.000
2.625,-8.000
2.631,-6.000
2.638,4.000
2.644,16.000
2.650,20.000
2.656,22.000
2.663,26.000
2.669,23.000
2.675,27.000
2.681,19.000
2.688,12.000
2.694,30.000
2.700,6.000
2.706,-10.000
2.712,25.000
2.719,25.000
2.725,16.000
2.731,27.000
2.737,18.000
2.744,22.000
2.750,36.000
2.756,46.000
2.763,43.000
2.769,63.000
2.775,64.000
2.781,66.000
2.788,65.000
2.794,57.000
2.800,52.000
2.806,59.000
2.812,59.000
2.819,59.000
2.825,63.000
2.831,42.000
2.837,16.000
2.844,21.000
2.850,23.000
2.856,26.000
2.862,19.000
2.869,1.000
2.875,17.000
2.881,30.000
2.888,11.000
2.894,1.000
2.900,21.000
2.906,17.000
2.913,37.000
2.919,45.000
2.925,24.000
2.931,9.000
2.938,33.000
2.944,46.000
2.950,34.000
2.956,21.000
2.962,1.000
2.969,-1.000
2.975,-3.000
2.981,0.000
2.987,-10.000
2.994,-34.000
3.000,-38.000
3.006,-37.000
3.013,-24.000
3.019,-12.000
3.025,18.000
3.031,59.000
3.038,79.000
3.044,57.000
3.050,21.000
3.056,2.000
3.062,4.000
3.069,-12.000
3.075,-54.000
3.081,-60.000
3.087,-41.000
3.094,-13.000
3.100,10.000
3.106,24.000
3.112,35.000
3.119,50.000
3.125,31.000
3.131,14.000
3.138,36.000
3.144,16.000
3.150,21.000
3.156,41.000
3.163,18.000
3.169,-4.000
3.175,-17.000
3.181,-5.000
3.188,6.000
3.194,8.000
3.200,-6.000
3.206,-4.000
3.212,4.000
3.219,26.000
3.225,30.000
3.231,44.000
3.237,20.000
3.244,11.000
3.250,36.000
3.256,43.000
3.263,52.000
3.269,79.000
3.275,82.000
3.281,65.000
3.288,74.000
3.294,70.000
3.300,34.000
3.306,39.000
3.312,35.000
3.319,-2.000
3.325,20.000
3.331,31.000
3.337,49.000
3.344,49.000
3.350,28.000
3.356,16.000
3.362,1.000
3.369,27.000
3.375,16.000
3.381,8.000
3.388,15.000
3.394,5.000
3.400,21.000
3.406,32.000
3.413,22.000
3.419,28.000
3.425,39.000
3.431,32.000
3.438,22.000
3.444,13.000
3.450,8.000
3.456,7.000
3.462,-4.000
3.469,-33.000
3.475,-35.000
3.481,-21.000
3.487,-30.000
3.494,-3.000
3.500,24.000
3.506,22.000
3.513,-1.000
3.519,-21.000
3.525,11.000
3.531,43.000
3.538,41.000
3.544,24.000
3.550,35.000
3.556,31.000
3.562,12.000
3.569,15.000
3.575,48.000
3.581,44.000
3.587,22.000
3.594,29.000
3.600,30.000
3.606,61.000
3.612,76.000
3.619,70.000
3.625,64.000
3.631,64.000
3.638,56.000
3.644,56.000
3.650,67.000
3.656,71.000
3.663,50.000
3.669,46.000
3.675,49.000
3.681,41.000
3.688,48.000
3.694,49.000
3.700,52.000
3.706,49.000
3.712,76.000
3.719,71.000
3.725,49.000
3.731,47.000
3.737,46.000
3.744,42.000
3.750,24.000
3.756,43.000
3.763,41.000
3.769,52.000
3.775,54.000
3.781,39.000
3.788,35.000
3.794,42.000
3.800,41.000
3.806,26.000
3.812,17.000
3.819,3.000
3.825,-20.000
3.831,-17.000
3.837,-1.000
3.844,11.000
3.850,31.000
3.856,36.000
3.862,55.000
3.869,76.000
3.875,80.000
3.881,37.000
3.888,15.000
3.894,-7.000
3.900,-6.000
3.906,25.000
3.913,1.000
3.919,8.000
3.925,25.000
3.931,31.000
3.938,35.000
3.944,16.000
3.950,-2.000
3.956,5.000
3.962,1.000
3.969,22.000
3.975,22.000
3.981,-1.000
3.987,-7.000
3.994,-23.000
4.000,-18.000
4.006,3.000
4.013,2.000
4.019,-2.000
4.025,5.000
4.031,23.000
4.037,21.000
4.044,11.000
4.050,11.000
4.056,-2.000
4.062,-6.000
4.069,11.000
4.075,-2.000
4.081,7.000
4.088,34.000
4.094,19.000
4.100,29.000
4.106,55.000
4.112,46.000
4.119,33.000
4.125,14.000
4.131,19.000
4.138,18.000
4.144,21.000
4.150,10.000
4.156,12.000
4.162,14.000
4.169,29.000
4.175,46.000
4.181,48.000
4.188,39.000
4.194,39.000
4.200,35.000
4.206,45.000
4.213,37.000
4.219,16.000
4.225,17.000
4.231,31.000
4.237,63.000
4.244,66.000
4.250,40.000
4.256,47.000
4.263,50.000
4.269,58.000
4.275,45.000
4.281,33.000
4.287,38.000
4.294,30.000
4.300,16.000
4.306,23.000
4.312,28.000
4.319,51.000
4.325,40.000
4.331,27.000
4.338,36.000
4.344,44.000
4.350,67.000
4.356,72.000
4.362,63.000
4.369,46.000
4.375,21.000
4.381,2.000
4.388,14.000
4.394,23.000
4.400,40.000
4.406,60.000
4.412,49.000
4.419,41.000
4.425,60.000
4.431,63.000
4.438,76.000
4.444,77.000
4.450,69.000
4.456,53.000
4.463,32.000
4.469,27.000
4.475,12.000
4.481,40.000
4.487,43.000
4.494,32.000
4.500,43.000
4.506,39.000
4.513,39.000
4.519,29.000
4.525,3.000
4.531,-5.000
4.537,-3.000
4.544,20.000
4.550,35.000
4.556,43.000
4.562,19.000
4.569,39.000
4.575,68.000
4.581,55.000
4.588,53.000
4.594,43.000
4.600,20.000
4.606,22.000
4.612,4.000
4.619,-39.000
4.625,-41.000
4.631,-37.000
4.638,-53.000
4.644,-55.000
4.650,-64.000
4.656,-32.000
4.662,-24.000
4.669,-30.000
4.675,-41.000
4.681,-40.000
4.688,-35.000
4.694,-25.000
4.700,-23.000
4.706,-42.000
4.713,-44.000
4.719,-13.000
4.725,2.000
4.731,20.000
4.737,20.000
4.744,13.000
4.750,-8.000
4.756,-13.000
4.763,-3.000
4.769,7.000
4.775,17.000
4.781,33.000
4.787,45.000
4.794,67.000
4.800,96.000
4.806,102.000
4.812,65.000
4.819,46.000
4.825,22.000
4.831,35.000
4.838,37.000
4.844,11.000
4.850,16.000
4.856,-4.000
4.862,-7.000
4.869,-20.000
4.875,-23.000
4.881,-3.000
4.888,12.000
4.894,5.000
4.900,10.000
4.906,21.000
4.912,1.000
4.919,16.000
4.925,29.000
4.931,7.000
4.938,-25.000
4.944,-26.000
4.950,-12.000
4.956,-30.000
4.963,-46.000
4.969,-41.000
4.975,11.000
4.981,17.000
4.987,-2.000
4.994,-5.000
5.000,1.000
5.006,-23.000
5.013,-6.000
5.019,18.000
5.025,10.000
5.031,22.000
5.037,23.000
5.044,23.000
5.050,16.000
5.056,-1.000
5.062,-2.000
5.069,-10.000
5.075,-29.000
5.081,-13.000
5.088,-2.000
5.094,-44.000
5.100,-43.000
5.106,-41.000
5.112,-38.000
5.119,-31.000
5.125,-26.000
5.131,-36.000
5.138,-7.000
5.144,1.000
5.150,30.000
5.156,32.000
5.162,29.000
5.169,49.000
5.175,41.000
5.181,24.000
5.188,18.000
5.194,32.000
5.200,21.000
5.206,26.000
5.213,32.000
5.219,62.000
5.225,59.000
5.231,41.000
5.237,45.000
5.244,40.000
5.250,54.000
5.256,33.000
5.263,25.000
5.269,58.000
5.275,75.000
5.281,68.000
5.287,64.000
5.294,39.000
5.300,62.000
5.306,69.000
5.312,44.000
5.319,59.000
5.325,36.000
5.331,8.000
5.338,12.000
5.344,-17.000
5.350,-12.000
5.356,3.000
5.362,-21.000
5.369,-13.000
5.375,-12.000
5.381,-4.000
5.388,-20.000
5.394,-20.000
5.400,-7.000
5.406,7.000
5.412,-5.000
5.419,-21.000
5.425,-35.000
5.431,-39.000
5.438,-30.000
5.444,-10.000
5.450,-12.000
5.456,-1.000
5.463,7.000
5.469,-2.000
5.475,6.000
5.481,-5.000
5.487,10.000
5.494,42.000
5.500,49.000
5.506,33.000
5.513,41.000
5.519,59.000
5.525,82.000
5.531,72.000
5.537,68.000
5.544,87.000
5.550,97.000
5.556,72.000
5.562,41.000
5.569,36.000
5.575,17.000
5.581,11.000
5.588,10.000
5.594,-3.000
5.600,-2.000
5.606,-2.000
5.612,-9.000
5.619,18.000
5.625,5.000
5.631,-3.000
5.638,30.000
5.644,11.000
5.650,27.000
5.656,42.000
5.662,39.000
5.669,33.000
5.675,30.000
5.681,30.000
5.688,15.000
5.694,27.000
5.700,44.000
5.706,50.000
5.713,50.000
5.719,52.000
5.725,37.000
5.731,22.000
5.737,4.000
5.744,-16.000
5.750,-1.000
5.756,11.000
5.763,8.000
5.769,-8.000
5.775,-10.000
5.781,8.000
5.787,14.000
5.794,7.000
5.800,-14.000
5.806,-30.000
5.812,-16.000
5.819,-16.000
5.825,24.000
5.831,40.000
5.838,53.000
5.844,71.000
5.850,73.000
5.856,25.000
5.862,-8.000
5.869,-13.000
5.875,-26.000
5.881,-32.000
5.888,-11.000
5.894,-6.000
5.900,-34.000
5.906,-64.000
5.912,-44.000
5.919,-48.000
5.925,-64.000
5.931,-68.000
5.938,-53.000
5.944,-52.000
5.950,-59.000
5.956,-67.000
5.963,-78.000
5.969,-79.000
5.975,-58.000
5.981,-48.000
5.987,-23.000
5.994,-22.000
6.000,-27.000
6.006,-52.000
6.013,-30.000
6.019,-3.000
6.025,3.000
6.031,15.000
6.037,36.000
6.044,35.000
6.050,33.000
6.056,38.000
6.062,36.000
6.069,62.000
6.075,92.000
6.081,85.000
6.088,67.000
6.094,45.000
6.100,58.000
6.106,57.000
6.112,72.000
6.119,95.000
6.125,78.000
6.131,86.000
6.138,77.000
6.144,65.000
6.150,83.000
6.156,69.000
6.162,69.000
6.169,62.000
6.175,60.000
6.181,54.000
6.188,54.000
6.194,73.000
6.200,63.000
6.206,67.000
6.213,60.000
6.219,62.000
6.225,73.000
6.231,72.000
6.237,73.000
6.244,96.000
6.250,92.000
6.256,93.000
6.263,118.000
6.269,104.000
6.275,101.000
6.281,74.000
6.287,56.000
6.294,88.000
6.300,78.000
6.306,83.000
6.312,77.000
6.319,67.000
6.325,48.000
6.331,48.000
6.338,69.000
6.344,59.000
6.350,45.000
6.356,54.000
6.362,37.000
6.369,29.000
6.375,44.000
6.381,51.000
6.388,60.000
6.394,54.000
6.400,60.000
6.406,64.000
6.412,92.000
6.419,90.000
6.425,63.000
6.431,58.000
6.438,50.000
6.444,58.000
6.450,56.000
6.456,57.000
6.463,52.000
6.469,59.000
6.475,54.000
6.481,32.000
6.487,32.000
6.494,29.000
6.500,27.000
6.506,35.000
6.513,23.000
6.519,-1.000
6.525,2.000
6.531,34.000
6.537,26.000
6.544,4.000
6.550,-18.000
6.556,-15.000
6.562,8.000
6.569,13.000
6.575,5.000
6.581,-15.000
6.588,-12.000
6.594,21.000
6.600,24.000
6.606,8.000
6.612,2.000
6.619,-3.000
6.625,6.000
6.631,8.000
6.638,-10.000
6.644,-31.000
6.650,-27.000
6.656,-30.000
6.662,-18.000
6.669,-36.000
6.675,-45.000
6.681,-22.000
6.688,-39.000
6.694,-26.000
6.700,-42.000
6.706,-50.000
6.713,-34.000
6.719,-30.000
6.725,-36.000
6.731,-9.000
6.737,7.000
6.744,-8.000
6.750,3.000
6.756,10.000
6.763,5.000
6.769,10.000
6.775,-14.000
6.781,-4.000
6.787,14.000
6.794,-2.000
6.800,-14.000
6.806,-14.000
6.812,-16.000
6.819,30.000
6.825,50.000
6.831,38.000
6.838,48.000
6.844,66.000
6.850,36.000
6.856,-10.000
6.862,-23.000
6.869,-24.000
6.875,-9.000
6.881,-2.000
6.888,3.000
6.894,11.000
6.900,-2.000
6.906,-28.000
6.912,3.000
6.919,24.000
6.925,12.000
6.931,16.000
6.938,-8.000
6.944,-5.000
6.950,1.000
6.956,3.000
6.963,3.000
6.969,16.000
6.975,15.000
6.981,-4.000
6.987,-8.000
6.994,-12.000
7.000,-10.000
7.006,-1.000
7.013,20.000
7.019,11.000
7.025,-30.000
7.031,-18.000
7.037,-3.000
7.044,10.000
7.050,32.000
7.056,47.000
7.062,44.000
7.069,57.000
7.075,42.000
7.081,37.000
7.088,37.000
7.094,31.000
7.100,20.000
7.106,21.000
7.112,24.000
7.119,-2.000
7.125,10.000
7.131,15.000
7.138,-3.000
7.144,0.000
7.150,-3.000
7.156,-15.000
7.162,-12.000
7.169,-29.000
7.175,-33.000
7.181,-26.000
7.188,-31.000
7.194,-20.000
7.200,-11.000
7.206,-10.000
7.213,1.000
7.219,24.000
7.225,21.000
7.231,8.000
7.237,12.000
7.244,22.000
7.250,15.000
7.256,10.000
7.263,11.000
7.269,17.000
7.275,-22.000
7.281,-46.000
7.287,-63.000
7.294,-58.000
7.300,-34.000
7.306,-29.000
7.312,-26.000
7.319,-16.000
7.325,-16.000
7.331,-35.000
7.338,-59.000
7.344,-74.000
7.350,-56.000
7.356,-58.000
7.362,-53.000
7.369,-12.000
7.375,-5.000
7.381,-38.000
7.388,-41.000
7.394,-46.000
7.400,-12.000
7.406,10.000
7.412,0.000
7.419,7.000
7.425,11.000
7.431,-21.000
7.438,-14.000
7.444,18.000
7.450,16.000
7.456,7.000
7.463,-25.000
7.469,-56.000
7.475,-74.000
7.481,-45.000
7.487,-12.000
7.494,-16.000
7.500,-2.000
7.506,-12.000
7.513,-49.000
7.519,-55.000
7.525,-29.000
7.531,6.000
7.537,43.000
7.544,58.000
7.550,74.000
7.556,64.000
7.562,35.000
7.569,15.000
7.575,17.000
7.581,58.000
7.588,84.000
7.594,67.000
7.600,46.000
7.606,7.000
7.612,-25.000
7.619,-8.000
7.625,6.000
7.631,9.000
7.638,2.000
7.644,18.000
7.650,45.000
7.656,50.000
7.662,58.000
7.669,58.000
7.675,40.000
7.681,30.000
7.688,27.000
7.694,27.000
7.700,58.000
7.706,108.000
7.713,136.000
7.719,146.000
7.725,138.000
7.731,71.000
7.737,22.000
7.744,13.000
7.750,18.000
7.756,13.000
7.763,40.000
7.769,56.000
7.775,48.000
7.781,34.000
7.787,36.000
7.794,52.000
7.800,46.000
7.806,54.000
7.812,35.000
7.819,20.000
7.825,23.000
7.831,39.000
7.838,52.000
7.844,16.000
7.850,20.000
7.856,25.000
7.862,13.000
7.869,12.000
7.875,34.000
7.881,39.000
7.888,51.000
7.894,59.000
7.900,47.000
7.906,42.000
7.912,18.000
7.919,-11.000
7.925,3.000
7.931,34.000
7.938,55.000
7.944,16.000
7.950,7.000
7.956,23.000
7.963,14.000
7.969,29.000
7.975,22.000
7.981,33.000
7.987,44.000
7.994,60.000
8.000,90.000
8.006,64.000
8.012,53.000
8.019,49.000
8.025,15.000
8.031,7.000
8.037,11.000
8.044,9.000
8.050,43.000
8.056,50.000
8.062,46.000
8.069,49.000
8.075,46.000
8.081,38.000
8.088,31.000
8.094,32.000
8.100,39.000
8.106,39.000
8.113,73.000
8.119,111.000
8.125,98.000
8.131,84.000
8.137,83.000
8.144,95.000
8.150,110.000
8.156,115.000
8.162,134.000
8.169,142.000
8.175,119.000
8.181,112.000
8.188,93.000
8.194,73.000
8.200,66.000
8.206,46.000
8.213,47.000
8.219,47.000
8.225,49.000
8.231,42.000
8.238,42.000
8.244,25.000
8.250,-8.000
8.256,-17.000
8.262,-30.000
8.269,-43.000
8.275,-37.000
8.281,-34.000
8.287,-27.000
8.294,-21.000
8.300,-37.000
8.306,-12.000
8.312,12.000
8.319,-4.000
8.325,-2.000
8.331,-37.000
8.338,-52.000
8.344,-29.000
8.350,-18.000
8.356,-13.000
8.363,-11.000
8.369,-12.000
8.375,8.000
8.381,18.000
8.387,11.000
8.394,17.000
8.400,5.000
8.406,-14.000
8.412,4.000
8.419,22.000
8.425,9.000
8.431,48.000
8.438,77.000
8.444,90.000
8.450,90.000
8.456,84.000
8.463,100.000
8.469,100.000
8.475,94.000
8.481,81.000
8.488,68.000
8.494,39.000
8.500,11.000
8.506,5.000
8.512,2.000
8.519,-14.000
8.525,-42.000
8.531,-47.000
8.537,-33.000
8.544,-48.000
8.550,-37.000
8.556,-31.000
8.562,-33.000
8.569,-44.000
8.575,-24.000
8.581,-21.000
8.588,-31.000
8.594,-10.000
8.600,18.000
8.606,44.000
8.613,65.000
8.619,73.000
8.625,46.000
8.631,-5.000
8.637,-17.000
8.644,-14.000
8.650,-6.000
8.656,5.000
8.662,3.000
8.669,-2.000
8.675,-25.000
8.681,-34.000
8.688,-35.000
8.694,-26.000
8.700,-13.000
8.706,-17.000
8.713,-22.000
8.719,-19.000
8.725,-16.000
8.731,-18.000
8.738,-29.000
8.744,-34.000
8.750,-29.000
8.756,-30.000
8.762,-35.000
8.769,-9.000
8.775,-12.000
8.781,-42.000
8.787,-10.000
8.794,11.000
8.800,-5.000
8.806,6.000
8.812,31.000
8.819,49.000
8.825,35.000
8.831,39.000
8.838,42.000
8.844,52.000
8.850,77.000
8.856,83.000
8.863,99.000
8.869,79.000
8.875,66.000
8.881,65.000
8.887,67.000
8.894,67.000
8.900,62.000
8.906,57.000
8.912,70.000
8.919,77.000
8.925,86.000
8.931,67.000
8.938,53.000
8.944,49.000
8.950,54.000
8.956,61.000
8.963,51.000
8.969,32.000
8.975,23.000
8.981,22.000
8.988,10.000
8.994,23.000
9.000,20.000
9.006,14.000
9.012,11.000
9.019,-8.000
9.025,-4.000
9.031,17.000
9.037,-8.000
9.044,16.000
9.050,13.000
9.056,-3.000
9.062,6.000
9.069,27.000
9.075,22.000
9.081,31.000
9.088,47.000
9.094,36.000
9.100,55.000
9.106,66.000
9.113,56.000
9.119,51.000
9.125,21.000
9.131,24.000
9.137,18.000
9.144,-2.000
9.150,23.000
9.156,37.000
9.162,39.000
9.169,49.000
9.175,21.000
9.181,20.000
9.188,33.000
9.194,10.000
9.200,-6.000
9.206,4.000
9.213,-13.000
9.219,-18.000
9.225,-1.000
9.231,-7.000
9.238,-6.000
9.244,6.000
9.250,23.000
9.256,42.000
9.262,8.000
9.269,-16.000
9.275,14.000
9.281,9.000
9.287,2.000
9.294,8.000
9.300,12.000
9.306,26.000
9.312,48.000
9.319,40.000
9.325,33.000
9.331,22.000
9.338,39.000
9.344,51.000
9.350,62.000
9.356,40.000
9.363,13.000
9.369,11.000
9.375,27.000
9.381,51.000
9.387,58.000
9.394,65.000
9.400,73.000
9.406,61.000
9.412,54.000
9.419,66.000
9.425,39.000
9.431,51.000
9.438,44.000
9.444,20.000
9.450,25.000
9.456,23.000
9.463,26.000
9.469,50.000
9.475,34.000
9.481,-8.000
9.488,15.000
9.494,25.000
9.500,65.000
9.506,82.000
9.512,73.000
9.519,69.000
9.525,77.000
9.531,63.000
9.537,54.000
9.544,116.000
9.550,139.000
9.556,133.000
9.562,102.000
9.569,62.000
9.575,42.000
9.581,52.000
9.588,58.000
9.594,67.000
9.600,95.000
9.606,93.000
9.613,94.000
9.619,95.000
9.625,78.000
9.631,72.000
9.637,84.000
9.644,78.000
9.650,82.000
9.656,118.000
9.662,124.000
9.669,147.000
9.675,158.000
9.681,125.000
9.688,117.000
9.694,137.000
9.700,160.000
9.706,111.000
9.713,93.000
9.719,97.000
9.725,89.000
9.731,53.000
9.738,49.000
9.744,43.000
9.750,40.000
9.756,75.000
9.762,106.000
9.769,119.000
9.775,96.000
9.781,65.000
9.787,61.000
9.794,49.000
9.800,40.000
9.806,69.000
9.812,95.000
9.819,85.000
9.825,62.000
9.831,43.000
9.838,18.000
9.844,17.000
9.850,39.000
9.856,54.000
9.863,83.000
9.869,88.000
9.875,53.000
9.881,45.000
9.887,34.000
9.894,-2.000
9.900,-12.000
9.906,-10.000
9.912,-25.000
9.919,-35.000
9.925,-32.000
9.931,5.000
9.938,33.000
9.944,37.000
9.950,28.000
9.956,13.000
9.963,37.000
9.969,51.000
9.975,29.000
9.981,16.000
9.988,32.000
9.994,8.000
